ID,item_cnt_month
0,0.2710469
1,0.03172165
2,0.5409038
3,0.2710469
4,0.03172165
5,0.2710469
6,0.2710469
7,0.2710469
8,1.7784089
9,0.03172165
10,0.2710469
11,0.2710469
12,0.2710469
13,0.2710469
14,0.2710469
15,0.2710469
16,0.03172165
17,0.2710469
18,0.5409038
19,0.2710469
20,0.2710469
21,0.03172165
22,0.2710469
23,0.2710469
24,0.2710469
25,0.03172165
26,0.03172165
27,0.2710469
28,0.2710469
29,0.2710469
30,0.2710469
31,0.03172165
32,0.2710469
33,0.2710469
34,0.2710469
35,0.2710469
36,0.2710469
37,0.5409038
38,0.2710469
39,0.2710469
40,0.2710469
41,0.2710469
42,0.2710469
43,0.2710469
44,0.2710469
45,0.03172165
46,3.4485059
47,0.2710469
48,0.2710469
49,0.5409038
50,0.2710469
51,0.2710469
52,0.2710469
53,0.2710469
54,0.2710469
55,0.2710469
56,0.2710469
57,0.5409038
58,4.0538177
59,1.3028096
60,1.7784089
61,0.2710469
62,0.2710469
63,0.2710469
64,0.03172165
65,0.03172165
66,0.2710469
67,0.2710469
68,0.2710469
69,0.2710469
70,0.03172165
71,0.5409038
72,0.2710469
73,0.8868718
74,0.03172165
75,0.03172165
76,0.2710469
77,0.03172165
78,0.2710469
79,0.2710469
80,0.5409038
81,0.2710469
82,0.2710469
83,0.2710469
84,0.2710469
85,0.2710469
86,0.2710469
87,0.2710469
88,0.2710469
89,0.2710469
90,0.2710469
91,0.2710469
92,0.2710469
93,0.2710469
94,2.30189
95,0.2710469
96,0.2710469
97,0.2710469
98,0.2710469
99,2.86188
100,1.7784089
101,0.2710469
102,0.2710469
103,0.2710469
104,0.2710469
105,0.03172165
106,0.03172165
107,3.4485059
108,0.2710469
109,0.03172165
110,0.2710469
111,0.03172165
112,0.03172165
113,0.03172165
114,0.2710469
115,0.2710469
116,0.03172165
117,0.2710469
118,0.2710469
119,0.2710469
120,0.2710469
121,0.2710469
122,0.2710469
123,0.2710469
124,0.2710469
125,0.2710469
126,0.03172165
127,0.2710469
128,0.03172165
129,0.2710469
130,0.2710469
131,0.03172165
132,0.2710469
133,1.7784089
134,0.2710469
135,0.2710469
136,0.2710469
137,0.03172165
138,0.2710469
139,0.03172165
140,0.2710469
141,0.2710469
142,0.2710469
143,0.2710469
144,0.03172165
145,0.03172165
146,0.03172165
147,0.2710469
148,0.03172165
149,0.03172165
150,0.2710469
151,0.03172165
152,0.5409038
153,0.2710469
154,0.03172165
155,0.2710469
156,0.2710469
157,0.2710469
158,0.2710469
159,0.2710469
160,0.03172165
161,0.2710469
162,0.03172165
163,0.2710469
164,0.2710469
